brand,product_name,barcode,image_url,category
,Duud African Pure Palm Oil,,,Hair & Beauty Products
,Duud African Yam Flour,,https://duudafricanfoods.com/wp-content/uploads/2021/11/6150121_large.jpg.webp,Flour & Starches
,Duud African Yellow Delta Garri,,https://duudafricanfoods.com/wp-content/uploads/2021/11/tempImagepVvrmw_adobespark.jpeg,Flour & Starches
Grace,Eau de Coco,5035139218199,https://images.openfoodfacts.org/images/products/503/513/921/8199/front_fr.22.400.jpg,Uncategorized
Grace,Eau De Coco Tetra Grace,5035139218083,,Uncategorized
,Eco Style Black Castor & Flaxseed Oil Styling Gel,,,Hair & Beauty Products
,Eco Styling Gel Argan Oil 437ml,,,Hair & Beauty Products
,Eco Styling Gel Krystal,,,Uncategorized
,Eco Styling Gel Olive Oil,,,Hair & Beauty Products
,Edo / Cocoyam,,,Uncategorized
,Egokwesilu Spicy Kulikuli,,,Snacks & Confectionery
,Egusi Blended,,,Spices/Condiments/Seasonings
,Egusi Whole,,,Spices/Condiments/Seasonings
Tropical Sun,Evaporated milk,5029788161517,https://images.openfoodfacts.org/images/products/502/978/816/1517/front_en.3.400.jpg,Uncategorized
,Exotic Crips (Chilli flavour),,,Uncategorized
,Fanta Trays,5449000131805,,Drinks
Unbranded,Farina 1.5 kg,,,Flour & Starches
,Farina – 1.5KG,,https://duudafricanfoods.com/shop/farina/,Flour & Starches
Grace,Festival mix,0055270956694,https://images.openfoodfacts.org/images/products/005/527/095/6694/front_en.10.400.jpg,Uncategorized
Dunn's River,Fine Cornmeal Polenta,5012389008060,,Uncategorized
,Fresh Banga Fruit 1kg,,,Produce (Fresh/Frozen)
,Fresh Ogi Pap Frozen (150grms),,,Produce (Fresh/Frozen)
,Fresh Ukwa 1kg,,,Beans & Legumes
Grace,Fruit Punch Tropical Rhythms,0055270832134,https://images.openfoodfacts.org/images/products/005/527/083/2134/front_en.6.400.jpg,Produce (Fresh/Frozen)
Unbranded,Fufu Flakes 5 kg,,,Flour & Starches
Ghana Best,Ghana Best Hausa Cocoa,,,Uncategorized
Golden Penny,Golden Penny Pasta Twist,6156000032290,,Uncategorized
Golden Penny,Golden Penny semovita Premium Quality Semolina – 1kg,6156000051161,,Uncategorized
Olu Olu,Gourmet Plantain Chips Sweet Yellow,6006502200157,,Snacks & Confectionery
Grace,"Grace harbor farms, natural cream top yogurt, vanilla",0835481002195,,Hair & Beauty Products
Grace,"Grace harbor farms, natural plain yogurt",0835481002164,,Uncategorized
Grace,"Grace harbor farms, natural yogurt, honey",0835481006223,,Uncategorized
Grace,"Grace harbor farms, natural yogurt, vanilla",0835481002201,,Uncategorized
Grace,"Grace harbor farms, yogurt, plain",0835481006162,,Uncategorized
Grace,Grace Tropical Rhythms Pineapple & Coconut,5035139217987,https://images.openfoodfacts.org/images/products/503/513/921/7987/front_fr.4.400.jpg,Produce (Fresh/Frozen)
Grace,"Grace, classic butter beans",0055270847763,,Beans & Legumes
Grace,"Grace, salt fish fritter, fish cake",0055270956427,https://images.openfoodfacts.org/images/products/005/527/095/6427/front_en.4.400.jpg,Meat/Seafood & Poultry
Grace,Green Plantain Chips Salted,5035139217505,https://images.openfoodfacts.org/images/products/503/513/921/7505/front_en.17.400.jpg,Snacks & Confectionery
Tropical Sun,Green Seasoning,5029788213858,,Spices/Condiments/Seasonings
Tropical Sun,Ground Mixed Spice,5029788100301,https://images.openfoodfacts.org/images/products/502/978/810/0301/front_en.3.400.jpg,Spices/Condiments/Seasonings
Grace,Gruau instant,0055270952146,https://images.openfoodfacts.org/images/products/005/527/095/2146/front_fr.3.400.jpg,Uncategorized
Grace,Guava jelly,0055270763018,https://images.openfoodfacts.org/images/products/005/527/076/3018/front_en.3.400.jpg,Uncategorized
Tropical Sun,haricots cornille,5029788603246,https://images.openfoodfacts.org/images/products/502/978/860/3246/front_en.9.400.jpg,Uncategorized
National Baking Company,Healthy Multi-Grain Bread with Sesame & Poppy Seeds,0070702122034;070702122034,,Uncategorized
Heritage,Heritage Bread,,,Uncategorized
Grace,HOT PEPPER SAUCE,5035139201023,https://images.openfoodfacts.org/images/products/503/513/920/1023/front_fr.21.400.jpg,Spices/Condiments/Seasonings
Grace,Hot Tomato Ketchup,0055270840689,https://images.openfoodfacts.org/images/products/005/527/084/0689/front_en.3.400.jpg,Uncategorized
Indomie,Indomie Mi Goreng Original – 80g,0089686180626;089686180626,,Uncategorized
Indomie,Indomie – 78g,0089686120226;089686120226,,Uncategorized
Caribbean Dreams,Instant Ginger Tea,0749650351550;749650351550,,Uncategorized
Grace,Ispaghul,89009109,https://images.openfoodfacts.org/images/products/000/008/900/9109/front_fr.3.400.jpg,Uncategorized
Iwisa,Iwisa Super Maize Meal,5025971207154,https://duudafricanfoods.com/shop/iwisa-super-maize-meal-2kg/,Flour & Starches
Tropical Sun,Jamaica Sun Ackees,5029788700099,https://images.openfoodfacts.org/images/products/502/978/870/0099/front_fr.4.400.jpg,Uncategorized
Dunn's River,Jamaican jerk seasoning,5012389672490,https://images.openfoodfacts.org/images/products/501/238/967/2490/front_en.20.400.jpg,Spices/Condiments/Seasonings
Dunn's River,Jamaican-Style Hot Sauce,50761210,https://images.openfoodfacts.org/images/products/000/005/076/1210/front_en.26.400.jpg,Uncategorized
Grace,Jambon supérieur,7094968647757994659771,https://images.openfoodfacts.org/images/products/709/496/864/7757994659771/front_fr.3.400.jpg,Uncategorized
Tropical Sun,Jerk seasoning,5029788100264,https://images.openfoodfacts.org/images/products/502/978/810/0264/front_fr.4.400.jpg,Spices/Condiments/Seasonings
Lady B,Lady B Custard Powder,,,Uncategorized
Grace,Lait Coco Prenium,5035139217680,https://images.openfoodfacts.org/images/products/503/513/921/7680/front_fr.33.400.jpg,Uncategorized
Grace,Lait de coco,5035139217604,https://images.openfoodfacts.org/images/products/503/513/921/7604/front_fr.99.400.jpg,Uncategorized
